code;nome;preco;placeholder;resultado
BLING-16686895177;PLACA FONTE CHAVEADA 12V - 90W                                                   Ns: 1592690021;206.08;não;IMPORTADO
BLING-16686852000;TRANSDUTOR ULTRASSONICO 40 KHZ LIPOCAVITY 40;256.98;não;IMPORTADO
BLING-16686851997;PLACA MS1007 ULTRAMAX 4.0;461.87;não;IMPORTADO
ME21355A;ENDOPHOTON LITE 660NM / 808NM - KLD BIOSISTEMAS;3000;não;IMPORTADO
03012009;DISPLAY GRAFICO 128 X 64                                                         Ns: 0000000168;70.56;não;IMPORTADO
03019002;INTERRUPTOR BIPOLAR 6A - 15223                                                   Ns: 0000000108;5.1;não;IMPORTADO
03067019;COIFA DE PROTECAO EXCENTRICA MODELLATA                                           Ns: 0000000058;16.1;não;IMPORTADO
03067046;PONTEIRA PLANA APLICADOR ORBITAL MODELLATA                                       Ns: 0000000014;49.28;não;IMPORTADO
03067023;PONTEIRA CONCAVA MODELLATA V2.0                                                  Ns: 0000000065;49.28;não;IMPORTADO
03067022;PONTEIRA MULTIPONTAS MODELLATA V2.0                                              Ns: 0000000071;49.28;não;IMPORTADO
03067021;PONTEIRA PONTO CENTRAL MODELLATA V2.0                                            Ns: 0000000070;55.3;não;IMPORTADO
03067020;PONTEIRA QUATRO PONTOS MODELLATA V2.0                                            Ns: 0000000073;55.3;não;IMPORTADO
02110344;PLACA FONTE CHAVEADA 17V / 45W - PSU190101                                       Ns: 1559870773;92.4;não;IMPORTADO
03025236;DISCO BASE DE ACOPLAMENTO PARA MOTOR MODELLATA                                   Ns: 0000000065;51.52;não;IMPORTADO
03025234;BASE DE ACOPLAMENTO PARA PONTEIRAS MODELLATA                                                        Ns: 0000000063;34.3;não;IMPORTADO
BLING-16683621109;CABO DO APLICADOR - FAMILIA ULTRASSOM/SONOPULSE - MONTADO                        Ns: 0000000109;31.36;não;IMPORTADO
BLING-16683621108;RESERVATORIO PARA VAPOR 127V (PREPARADO)                                         Ns: 1563711001;159.6;não;IMPORTADO
BLING-16683621107;ABRACADEIRA RADIAL EM ACO INOXIDAVEL DIAMETRO 10,5MM                             Ns: 0000000005;0.81;não;IMPORTADO
BLING-16683621106;Abracadeira Radial em aco inoxidavel Diametro 12,3mm                             Ns: 0000000016;1.5125;não;IMPORTADO
BLING-16683621105;Abracadeira Radial em aco inoxidavel Diametro 11,9mm                             Ns: 0000000033;4.83;não;IMPORTADO
BLING-16683621104;Abracadeira Radial em aco inoxidavel Diametro 11,9mm                             Ns: 0000000032;4.83;não;IMPORTADO
BLING-16683621102;TUBO ESPECIAL PU 12 X 8 AZUL                                                     Ns: 0000000029;27.9333333333;não;IMPORTADO
BLING-16683621101;TUBO ESPECIAL PU 8 X 5 AZUL                                                      Ns: 0000000105;13.7142857143;não;IMPORTADO
BLING-16683621099;TUBO ESPECIAL PU 10 X 6,5 AZUL                                                   Ns: 0000000052;16.1838888889;não;IMPORTADO
BLING-16683621098;BOBINA HF 4 FIO P/ DERMOSTEAM  CUSTOMIZADA                                       Ns: 0000000126;19.6;não;IMPORTADO
BLING-16683621097;COPO APLICADOR FACIAL                                                            Ns: 1565190009;184.8;não;IMPORTADO
BLING-16683468229;THERMOPULSE NS: 0967700005;9000;não;IMPORTADO
SRV-PECA;CONECTOR ENGATE RAPIDO;59.99;sim;IMPORTADO_INATIVO
SRV-SERVICO;CALIBRAGEM / MANUTENÇÃO CORRETIVA;400;sim;IMPORTADO_INATIVO
AVULSO-PECA;TROCA PELTIER (Avulso);780;sim;IMPORTADO_INATIVO
AVULSO-SERVICO;Calibração/Manutenção Corretiva (Avulso);400;sim;IMPORTADO_INATIVO
BLING-16672530994;CHICOTE CABO APLICADOR FACIAL - MONTADO                                          Ns: 0000000013;63.2;não;IMPORTADO
BLING-16672530992;ETIQUETA APLICADOR FACIAL SONOFOCUS SAFIRA                                       Ns: 0000000010;3.72;não;IMPORTADO
BLING-16672530991;ADESIVO APLICADOR FACIAL SONOFOCUS SAFIRA                                        Ns: 0000000003;9.6;não;IMPORTADO
BLING-16672530990;ADESIVO VINIL APLICADOR FACIAL SONOFOCUS SAFIRA                                  Ns: 0000000004;2.52;não;IMPORTADO
BLING-16672530988;CONJUNTO ADESIVO VINIL APLICADOR FACIAL SONOFOCUS                                Ns: 0000000002;0.96;não;IMPORTADO
BLING-16672530987;ETIQUETA APLICADOR FACIAL SONOFOCUS SAFIRA                                       Ns: 0000000010;3.72;não;IMPORTADO
BLING-16672530986;ADESIVO APLICADOR FACIAL SONOFOCUS SAFIRA                                        Ns: 0000000003;9.6;não;IMPORTADO
BLING-16672530985;ADESIVO VINIL APLICADOR FACIAL SONOFOCUS SAFIRA                                  Ns: 0000000004;2.52;não;IMPORTADO
BLING-16672530982;CONJUNTO ADESIVO VINIL APLICADOR FACIAL SONOFOCUS                                Ns: 0000000002;0.96;não;IMPORTADO
SRV-MAO-DE-OBRA;Serviço de Manutenção - Mão de Obra;400;sim;IMPORTADO_INATIVO
02110236;TFC - PLACA SMD HF IBRAMED PCI HFT010101 - MONTADA (VENDAS)                      Ns: 1564420016;42.56;não;IMPORTADO
03025160;BRACO DIRECIONADOR DERMOSTEAM                                                    Ns: 0000000170;81.2;não;IMPORTADO
03038513;PELTIER TEC1-127-06-12-4040-405-66-1                                             Ns: 0000000012;251.44;não;IMPORTADO
03020153;TERMISTOR NTC 10K - B57861S0103A039                                              Ns: 0000000028;38.64;não;IMPORTADO
BLING-16652219432;Neurodyn II 4 Canais NS: 1406970006;1000;não;IMPORTADO
03027565;CONJUNTO ADESIVO PROBE 5  - LASER 904NM   - INMETRO                              Ns: 0000000040;14.4;não;IMPORTADO
03027564;ETIQUETA CARACTERISTICA PROBE 5  - LASER 904NM - INMETRO                         Ns: 0000000033;4;não;IMPORTADO
03073167;CHICOTE APLICADOR PROBE P5 - 904 - PORTATIL - MONTADO                            Ns: 0000000061;90;não;IMPORTADO
03073252.;CABO APLICADOR CORPORAL RADIOFREQUENCIA + VACUO - MONTADO                        Ns: 0000000033;123.2;não;IMPORTADO
03073251.;CABO APLICADOR FACIAL RADIOFREQUENCIA + VACUO - MONTADO                          Ns: 0000000025;123.2;não;IMPORTADO
03014469;CAP CER 4700PF 1.5KV X7R 1206                                                    Ns: 0000000005;4.76;não;IMPORTADO
03024219;TRANSFORMADOR FONTE 12V - 90W                                                    Ns: 0000000036;44;não;IMPORTADO
02110024;PLACA FONTE CHAVEADA POTENCIA 80V / CONTROLE 80V                                 Ns: 1453030274;324.24;não;IMPORTADO
02110037;PLACA CONTROLE CRYOTECAR PCI RFC010101                                           Ns: 1529360177;128.8;não;IMPORTADO
03017105;CABO FLAT 24 VIAS - METRO                                                        Ns: 0000000005;30.4;não;IMPORTADO
03018090.;TRANSISTOR MOSFET FDD850N10L                                                     Ns: 0000000130;6.72;não;IMPORTADO
03018069;TRANSISTOR IRF 9530  / IRF 9540                                                  Ns: 0000000186;3.36;não;IMPORTADO
03024210.;BOBINA HF 4 FIO P/ DERMOSTEAM  CUSTOMIZADA                                       Ns: 0000000122.;19.6;não;IMPORTADO
03015139;MODULO DE ENTRADA AC - 3545-T1B02AE                                              Ns: 0000000048;30.24;não;IMPORTADO
0211003.0;PLACA CENTELHADORA                                                               Ns: 1428440060;67.2;não;IMPORTADO
0304912.3;CABO DO APLICADOR - FAMILIA ULTRASSOM/SONOPULSE - MONTADO                        Ns: 0000000105;31.36;não;IMPORTADO
03038670;ABRACADEIRA RADIAL EM ACO INOXIDAVEL DIAMETRO 10,5MM                             Ns: 0000000004;0.81;não;IMPORTADO
03038594;Abracadeira Radial em aco inoxidavel Diametro 15,3mm                             Ns: 0000000022;1.68;não;IMPORTADO
