Codigo/SKU;Descricao;Estoque MGV;Estoque Bling;Diferenca Saldo;NCM MGV;NCM Bling;Preco MGV (R$);Preco Bling (R$);Status;Diagnostico Divergencias
"02071759";"	PLACA CONTROLE NEURODYN PORTABLE TENS FES";1;0;1;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"02071814";"	RESERVATORIO PARA VAPOR 127V (PREPARADO)";0;0;0;"90189099";"";455.00;455.00;"FISCAL_DIVERGENCE";"NCM divergente: MGV (90189099) vs Bling (Não preenchido)"
"ADPAI008.01 ";" ADESIVO PAINEL VERSATILE AF7";11;0;11;"39199090";"";0.00;224.55;"QTY_DIVERGENCE";"Estoque divergente: MGV (11) vs Bling (0) [Dif: +11] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 224.55)"
"ADPAI007.02 ";" ADESIVO PAINEL VERSATILE AF9 R02";2;0;2;"39199090";"";0.00;224.55;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 224.55)"
"03029043";" CABECOTE INJETADO EM PU SONOFOCUS";1;0;1;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
" 006444";" PLACA DRIVER STIMULUS-R R6";1;0;1;"90189099";"";0.00;2257.88;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 2257.88)"
"03038670";"ABRACADEIRA RADIAL EM ACO INOXIDAVEL DIAMETRO 10,5MM                             Ns: 0000000004";0;0;0;"90189099";"";0.81;0.81;"FISCAL_DIVERGENCE";"NCM divergente: MGV (90189099) vs Bling (Não preenchido)"
"BLING-16683621107";"ABRACADEIRA RADIAL EM ACO INOXIDAVEL DIAMETRO 10,5MM                             Ns: 0000000005";0;0;0;"90189099";"";0.81;0.81;"FISCAL_DIVERGENCE";"NCM divergente: MGV (90189099) vs Bling (Não preenchido)"
"80018237";"ACABAMENTO DA PONTEIRA 1 FURO KLD";13;0;13;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (13) vs Bling (0) [Dif: +13] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"03067013";"ACABAMENTO EMBORRACHADO";0;0;0;"40169300";"";23.20;23.20;"FISCAL_DIVERGENCE";"NCM divergente: MGV (40169300) vs Bling (Não preenchido)"
