CODIGO,NUMERO,NOME,GRUPO,TIPO,MEDICAMENTO,MATERIA_PRIMA,UNIDADE,NUMERO_FAB,ESTOQUE_MIN,ESTOQUE_IDEAL,ESTOQUE_DISP,CUSTO,LUCRO,VENDA,DOLAR,ABC,FORNECEDOR,LOCAL,GAVETA,Utilizado,FABRICANTE,SUBGRUPO,NOMECURTO,P_FOTO,NC_MERCOSUL,C_CLAS_FISCAL,C_CST_O,C_CST,C_ECF_ALIQ,C_ICMS,C_ICMS_ST,C_IPI,C_RED_BCALC,ULTIMA_VENDA,ULTIMA_COMPRA,PODE_DESCONTO,DESCONTO_MAX,PESO_BRUTO,PESO_LIQUIDO,CFOP_INUF,CFOP_OUTUF,ARQUIVADO,PRECO_1,PRECO_2,GTIN,USA_SERIAL,vTotTrib,NUMERO_ORIGINAL,cANP,CST_IPI_PIS_COFINS,VALIDADE,USA_LOTES,cBenef,indEscala,CNPJFab,PIS_ALIQ,COFINS_ALIQ,IPI_cEnq,CEST,vBCSTRet,vICMSSTRet,pST,vICMSSubstituto,pRedBCEfet,vBCEfet,pICMSEfet,vICMSEfet,ML_category_id,ML_video_id,ML_warranty,ML_Description,ITEM_REGRAFISCAL_IDPK,REGRAFISCALPDV_IDPK,CST_CBSIBS,ClassTrib_CBSIBS,AliquotaCBS,AliquotaIBSUF,AliquotaIBSMun,pRedAliqCBS,pRedAliqIBSUF,pRedAliqIBSMun,OBS_REFORMA
1,3029078,ACABAMENTO EMBORRACHADO DA PROBE                                                 NS: 0000000045,,C,N,N,UN,3029078,0,0,22,"10,01","150,05","25,03","4,98",0,23,,,,,,,,39269090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
2,3067013,ACABAMENTO EMBORRACHADO PARA APLICADOR CLUSTER,,C,N,N,UN,3067013,0,0,6,"23,2","158,1897","59,9","11,91",0,23,,,,,,,,84149039,,0,000,,0,0,0,100,26/05/2026,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
3,107858,ACABAMENTO PARA APLICADOR ACRUS (IMP),,C,N,N,UN,10785,2,2,13,50,70,85,"16,9",0,23,,,,,,,,39269090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
4,2200,ACESSORIO BLISTER ELETRODO FACIAL HD10 NAC,,C,N,N,UN,ACBLI022.00,2,2,3,156,"89,5513","295,7","58,79",0,23,,,,,,,,90189099,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
5,1200,ACESSORIO ELETRODO FACIAL MD28 NAC,,C,N,N,UN,ACELE012.00,0,0,0,"169,65","87,4447",318,"63,22",0,23,,,,,,,,90189099,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
6,3030067,ACRILICO PAINEL HECCUS TURBO - 4MM                                               NS: 0000000123,,C,N,N,UN,3030067,1,1,9,"55,31","243,5184",190,"37,77",0,23,,,,,,,,39205900,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
7,3030055,ACRILICO PAINEL THERMOPULSE - 4 MM                                               NS: 0000000076,,C,N,N,UN,3030055,0,0,1,"122,92",-100,0,0,0,23,,,,,,,,39205900,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
8,3025013,ADAPTADOR P/ MANGUEIRA - HOOKE                                                   NS: 0000000073,,C,N,N,UN,3025013,0,0,2,12,-100,0,0,0,23,,,,,,,,39174090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
9,80010371,ADESIVO ADE62O04 APLICADOR CORPORAL EUS1401,,C,N,N,UN,80010371,0,0,3,34,"444,1176",185,"35,9223",0,7,,,,,,,,39219019,,0,101,0,0,0,0,100,,,True,100,0,0,5102,6102,False,185,185,,False,"35,93",,,99|99|00,,False,,S,,0,0,999,0,0,0,0,0,0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
10,80010367,ADESIVO ADE87N14 APLICADOR LLT1307,,C,N,N,UN,80010367,1,1,0,"63,98","87,5586",120,"23,86",0,23,,,,,,,,39219019,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
11,80010280,ADESIVO ADEB5M05 CABECOTE (KAVIX) R04,,C,N,N,UN,80010280,0,0,2,49,-100,0,0,0,23,,,,,,,,39219019,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
12,80010695,ADESIVO ADEK2U06 LOGO ARTIX APLICADOR ATP200 ARTIX ECL2101 R01,,C,N,N,UN,80010695,0,0,4,4,-100,0,0,0,23,,,,,,,,39219019,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
446,446,MANGUEIRA EM SILICONE CINZA - 17MM X 8 MM                                        Ns: 0000000008,,C,N,N,MT,03038272,0,0,2,"31,39",0,0,0,0,4,,,,,,MANGUEIRA EM SILICONE CIN,,39173240,,0,00,,0,0,0,100,,15/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,18,"5,47",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
447,3049014,CABO 76 (MA/RX 4 VIAS) P/ 10 CH AUSSIE/RUSSA INJETADO                            Ns: 0000000022,CABOS E CHICOTES,C,N,N,PC,03049014,0,0,8,"47,02",0,0,0,0,4,,,,,,CB 76(MA/RX 4 VIAS)P/10 C,,85444200,,0,101,0,0,0,0,100,,27/05/2026,True,100,0,0,5102,6102,False,0,0,,False,"28,21",,,99|99|00,,False,,S,,0,0,999,0,"61,58","3,65",18,"7,44",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
448,3049010,CABO 72 (PT/LR 4 VIAS) P/ 10 CH AUSSIE/RUSSA INJETADO                            Ns: 0000000051,CABOS E CHICOTES,C,N,N,PC,03049010,0,0,3,"47,02","102,04",95,"18,92",0,4,,,,,,CB 72(PT/LR 4 VIAS)P/10 C,,85444200,,0,101,0,0,0,0,100,08/06/2026,15/05/2026,True,100,0,0,5102,6102,False,95,95,,False,"28,21",,,99|99|00,,False,,S,,0,0,999,0,"61,58","3,65",18,"7,44",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
449,3027263,ETIQUETA CABECOTE HECCUS - VS 04/13                                              Ns: 0000000051,,C,N,N,UN,03027263,0,0,5,"16,68",0,0,0,0,4,,,,,,ETIQUETA CABECOTE HECCUS-,,39199090,,0,00,,0,0,0,100,,15/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,18,"2,74",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
450,3015385,PLUG CIRCULAR 12VIAS SP2110/P12 - WEIPU                                          Ns: 0000000025,,C,N,N,UN,03015385,0,0,1,"75,74",0,0,0,0,4,,,,,,PLUG CIRCULAR 12VIAS SP21,,85369090,,0,10,,0,0,0,100,,15/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,"102,72","7,26",18,"11,23",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
511,35012,FONTE CHAVEADA 350W 90-264VCA/240-370VCC SAIDA 12VCC/29A - MEAN WELL,,C,N,N,UN,LRS35012,0,0,-1,"310,25","813,7792",2835,"551,56",0,45,,,,,,FONTE CHAVEADA ,,85044029,,2,102,0,0,0,0,100,30/06/2026,18/06/2026,True,100,0,0,5102,6102,False,2835,2835,,False,"40,68",,,99|99|00,,False,,S,,0,0,999,0,0,0,0,0,0,0,0,0,,,,,0,0,0-1,,0,0,0,0,0,0,
512,789309579454,ADAPTADOR AC/DC,,C,N,N,,7893095794540,0,3,3,0,0,0,0,1,23,,,,CHINA,,ADAPTADOR AC/DC,,,,0,101,0,18,100,0,100,,,True,100,0,0,,,False,0,0,,False,0,,,99|99|00,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0-1,0,0,0,0,0,0,0,
513,789309559336,CABO HIGH DEFINITION MULTIMEDIA,,C,N,N,,7893095593365,0,3,3,0,0,0,0,1,23,,,,CHINA,,CB HIGH DEFINITION MULTIM,,,,0,101,0,18,100,0,100,,,True,100,0,0,,,False,0,0,,False,0,,,99|99|00,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0-1,0,0,0,0,0,0,0,
514,790822721032,FONTE DE ALIMENTAÇÃO,,C,N,N,,7908227210321,0,3,3,0,0,0,0,1,23,,,,CHINA,,FONTE DE ALIMENTAÇÃO,,,,0,101,0,18,100,0,100,,,True,100,0,0,,,False,0,0,,False,0,,,99|99|00,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0-1,0,0,0,0,0,0,0,
515,4852,TRANSISTOR SMD BCP56T3G - SOT-223,,C,N,N,UN,004852,0,0,20,"1,25",0,0,0,0,2,,,,,,TRANSISTOR SMD BCP56T3G-S,,85412199,,2,00,,0,0,0,100,,19/06/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,18,"0,22",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
516,2638,DIODO LASER 658NM - 180MW,,C,N,N,UN,002638,0,0,2,"158,04",-100,0,0,0,2,,,,HTM,,DIODO LASER 658NM - 180MW,,85414112,,2,101,0,0,0,0,100,,19/06/2026,True,100,0,0,5102,6102,False,0,0,,False,"35,81",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"28,12",0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,
452,400,TRANSDUTOR ULTRASSOM 3MHZ 50MM,,C,N,N,UN,TDULS00400,0,0,2,"441,47","83,4779",810,"161,3546",0,3,,,VELOX,,,TRANSDUTOR ULTRASSOM 3MHZ,,90189099,,0,101,0,0,0,0,100,25/06/2026,21/05/2026,True,100,0,0,5102,6102,False,810,810,,False,"32,05",,,99|99|00,,False,,S,,0,0,999,0,0,0,12,"52,98",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
453,1700,CI PTH TO-39 PN MLX90614ESFDCH000TU,,C,N,N,UN,CIPTH01700,0,0,1,"769,41",0,0,0,0,3,,,,,,CI PTH TO-39 PN MLX90614E,,85423120,,2,00,,0,0,0,100,,20/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,4,"30,78",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
454,25010220,COPO ALUMINIO LONGITUDINAL ANODIZADO THF1402 (OCTOPOLAR),,C,N,N,UN,25010220,0,0,24,"22,5",0,0,0,0,10,,,,,,COPO ALUMINIO LONGITUDINA,,90330000,,0,00,,0,0,0,100,,15/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,18,"3,69",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
