CODIGO;RAZAO;FANTASIA;CNPJ_CPF;IE_RG;ENDERECO;BAIRRO;CIDADE;UF;CEP;TELEFONE;FAX;EMAIL;CADASTRADO;OBS;TRANSPORTADORA;SITE;ULTIMA_COMPRA;CONTATO;INS_MUN
1;SHARMAQ COMÉRCIO E REPR. LTDA;SHARMAQ Sistemas;;;RUA GAL. OSORIO, 127;CENTRO;VITÓRIA;ES;29.010-914;(27) 3222-0951;(27) 3222-0951;SUPORTE@SHARMAQ.COM.BR;16/10/2006 15:38:22;DESENVOLVEDORA DO SHOFICINA ** CADASTRO DE EXEMPLO**;False;www.shoficina.com.br;;;
2;HTM INDUSTRIA DE EQUIPAMENTOS ELETRO-ELETRONICOS LTDA;;03.271.206/0001-44;168041609112;BRCAO 179;JARDIM FIGUEIRA;AMPARO;SP;13.904-380;;(19) 3808-7741;contabil@htmeletronica.com.br;15/02/2023 20:15:51;02/07/1999;False;;18/06/2026;NICOLE IARDINO PIOVE;
3;PAGANIN E CIA LTDA;TONEDERM;88.649.355/0001-57;;;UNIVERSITARIO;CAXIAS DO SUL;RS;95.041-050;;(54) 3209-5600;;15/02/2023 20:17:38;25/03/1968;False;;23/06/2026;BDG PARTICIPACOES SO;
4;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS LTDA;IBRAMED;00.133.418/0001-77;168032530117;av.carlos burgos 2800;JARDIM ITALIA;AMPARO;SP;13.901-080;;(19) 3817-9633;dhrodrigues@ibramed.com.br;16/10/2024 08:48:02;15/07/1994;False;;15/06/2026;JOSE RICARDO DE SOUZ;
5;JOMACLER INDUSTRIA E COMERCIO DE CONDUTORES ELETRICOS LTDA.;JOMACLER;02.968.092/0001-23;;ANEXO 69 E 79;VILA REGENTE FEIJO;SAO PAULO;SP;03.347-110;;(11) 2966-9095;financeiro@tiaflex.com.br;16/10/2024 10:15:06;09/12/1998;False;;16/10/2024;"CLEBER ANDALECIO; MA";
6;ECT - EMP. BRAS. DE CORREIOS E TELEGRAFO                    ;ECT - EMP. BRAS. DE CORREIOS E TELEGRAFO;66.922.741/0001-38;ISENTO         ;AG: 424441 - AGF VL. INVERNADA                              ;;                                                            ;  ;;;;;16/10/2024 12:05:14;;True;;;;
7;KLD - BIOSISTEMAS EQUIPAMENTOS ELETRONICOS LTDA;;52.072.600/0003-20;;;LOTEAMENTO NARDINI;AMPARO;SP;13.905-070;;(19) 3808-8890 / (19;financeiro@kld.com.br;08/11/2024 15:33:55;06/07/2011;False;;;+55 19 97403-3324;
8;SHOPLIBRE COMERCIAL LTDA;ESTEK;34.166.163/0001-60;;PARANHOS 151;VILA NOVA SAVOIA;SAO PAULO;SP;03.532-020;;(11) 2612-1550;shoplibre_tiny@estek.com.br;11/11/2024 11:40:27;10/07/2019;False;;12/06/2026;(11) 2082-4055EDELCI;
9;CHINA;CHINA;;;;;;;;;;;25/11/2024 16:27:08;;False;;07/05/2026;;
10;KLD BIOSISTEMAS EQUIP ELET LTDA                             ;KLD BIOSISTEMAS EQUIP ELET LTDA         ;52.072.600/0001-69;168014017114  ;AV. EUROPA                                                  ;JD. CAMANDUCAIA                                             ;AMPARO                                                      ;SP;13905100;1938179711;;                                                                                                                                                                                                        ;24/07/2025 17:11:53;;False;;16/06/2026;;
11;SEDEX (CORREIOS)                                            ;SEDEX (CORREIOS)                        ;34.028.316/0031-29;ISENTO         ;                                                            ;;                                                            ;  ;;;;;24/07/2025 17:11:53;;True;;;;
